loop_instruction.thisRepN,loop_instruction.thisTrialN,loop_instruction.thisN,loop_instruction.thisIndex,loop_rsi_practice.thisRepN,loop_rsi_practice.thisTrialN,loop_rsi_practice.thisN,loop_rsi_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,map_condition,map_x_key,map_y_key,key_resp_welcome.started,key_resp_welcome.keys,key_resp_welcome.rt,index,text_empty_rsi_practice.started,text_empty_rsi_practice.stopped,rsi,stimulus.started,stimulus,correct,trial_type,key_resp_trial.keys,key_resp_trial.corr,stimulus.stopped,key_resp_trial.rt,key_resp_instruction_rsi.started,key_resp_instruction_rsi.keys,key_resp_instruction_rsi.rt,key_resp_instruction_rsi.stopped,key_resp_instruction_final.started,key_resp_instruction_final.keys,key_resp_instruction_final.rt,key_resp_break.started,key_resp_break.keys,key_resp_break.rt,key_resp_break.stopped,key_resp_end_screen.started,image_end_screen.started,key_resp_end_screen.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,d,l,3594.3582504929655,j,25.316400493698893,0,3619.702872871334,3620.721897346957,1,3620.721897346957,X,d,go,None,0,,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,3622.1171815189446,3623.1181017609197,1,3623.1181017609197,Y,l,go,None,0,3623.9172199189197,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,2,3624.5171629007673,3625.5172409613297,1,3625.5172409613297,X,d,go,d,1,,0.2823074193147477,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,3,3626.517222052251,3627.5172782946465,1,3627.5172782946465,X,None,nogo,d,0,,0.3307699412544025,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,4,3628.966420864759,3629.9667578342924,1,3629.9667578342924,Y,l,go,l,1,,0.42602710719802417,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,5,3631.1003087998542,3632.100348072563,1,3632.100348072563,X,d,go,d,1,,0.3237464295234531,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,6,3633.133645510956,3634.13341714743,1,3634.13341714743,Y,l,go,l,1,,0.41783123239292763,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,7,3635.2835586503934,3636.283665317009,1,3636.283665317009,X,d,go,d,1,,0.38058131105208304,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,8,3637.3669064887654,3638.366990367518,1,3638.366990367518,X,None,nogo,None,1,3639.1668348281964,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,9,3639.7671283553354,3640.7669038705935,1,3640.7669038705935,X,None,nogo,None,1,3641.566757543391,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,10,3642.1668876766635,3643.166830464572,1,3643.166830464572,Y,l,go,l,1,,0.344649207268958,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,11,3644.2167858342873,3645.2167567433935,1,3645.2167567433935,X,d,go,d,1,,0.47041738870029803,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,12,3646.400374108911,3647.400316411964,1,3647.400316411964,Y,l,go,l,1,,0.464582724875072,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,13,3648.566748331272,3649.566890876653,1,3649.566890876653,Y,None,nogo,None,1,3650.3667435797543,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,14,3650.9669445008767,3651.9667694706586,1,3651.9667694706586,X,d,go,d,1,,0.3295495782222133,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,0,3673.166753858546,3673.3667518221773,0.2,3673.3667518221773,X,d,go,None,0,3674.167000161455,,3653.0526016714575,j,20.09503187374503,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,3674.766929567544,3674.9670240159903,0.2,3674.9670240159903,Y,l,go,l,1,,0.35302883957047015,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,2,3676.033642650349,3676.233547523123,0.2,3676.233547523123,X,d,go,d,1,,0.41428068865207024,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,3,3677.350076436327,3677.5501607029582,0.2,3677.5501607029582,Y,l,go,l,1,,0.34612508534337394,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,4,3678.6002605574467,3678.800192096882,0.2,3678.800192096882,X,d,go,d,1,,0.39167657839425374,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,5,3679.900067442388,3680.100202133239,0.2,3680.100202133239,Y,l,go,l,1,,0.3553420505777467,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,6,3681.166745131268,3681.3669030948367,0.2,3681.3669030948367,X,d,go,d,1,,0.30507540827966295,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,7,3682.3834732686228,3682.583615717027,0.2,3682.583615717027,X,None,nogo,None,1,3683.383561511,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,8,3683.983604856432,3684.1834020928945,0.2,3684.1834020928945,Y,l,go,l,1,,0.368707862260635,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,9,3685.2669555069297,3685.46688704635,0.2,3685.46688704635,X,d,go,d,1,,0.34926156867004465,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,10,3686.516665931311,3686.717038197792,0.2,3686.717038197792,Y,l,go,l,1,,0.363875864612055,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,11,3687.7836010746105,3687.9833876444172,0.2,3687.9833876444172,Y,None,nogo,None,1,3688.7833605898777,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,12,3689.383391329262,3689.583494504972,0.2,3689.583494504972,X,d,go,d,1,,0.3123331017268356,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,13,3690.6002843150054,3690.800278884708,0.2,3690.800278884708,Y,l,go,l,1,,0.42367365380050614,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,14,3691.933558820092,3692.1335427231243,0.2,3692.1335427231243,Y,None,nogo,l,0,,0.41811341408174485,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3693.7185552879673,None,,3693.7185552879673,3693.7185552879673,space,9.139988942857599,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,0,,,1,3703.8835011473857,X,d,go,d,1,,0.2844436606974341,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,1,,,1,3705.283578529168,Y,l,go,l,1,,0.3568732013372937,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,2,,,1,3706.7503569695255,X,d,go,d,1,,0.31456631276523694,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,3,,,1,3708.166957979658,Y,l,go,l,1,,0.465488421410555,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,4,,,1,3709.73348376558,X,d,go,d,1,,0.32277091484866105,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,5,,,1,3711.166935191781,X,None,nogo,d,0,,0.3603922299371334,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,6,,,1,3712.6337868442206,Y,l,go,l,1,,0.3825827646360267,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,7,,,1,3714.1169565493474,X,d,go,d,1,,0.48355580658244435,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,8,,,1,3715.7004365088796,Y,l,go,l,1,,0.3560334441572195,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,9,,,1,3717.166993373583,Y,None,nogo,None,1,3717.96663904647,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,10,,,1,3718.966735531285,X,d,go,d,1,,0.32199564248730894,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,11,,,1,3720.4000167757476,Y,l,go,l,1,,0.409075842690072,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,12,,,1,3721.916639070725,Y,None,nogo,None,1,3722.7166910464584,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,13,,,1,3723.7167628039897,X,d,go,d,1,,0.45165957961580716,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,14,,,1,3725.2832939232467,Y,l,go,l,1,,0.35803489774116315,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,15,,,1,3726.750023878776,Y,None,nogo,None,1,3727.549789309196,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,16,,,1,3728.549730642553,Y,None,nogo,l,0,,0.36968580119719263,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,17,,,1,3730.0335524685797,X,d,go,d,1,,0.4541652753687231,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,18,,,1,3731.60001134545,Y,l,go,l,1,,0.39217694180842955,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,19,,,1,3733.1163883072004,X,d,go,None,0,3733.9163564041955,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,20,,,1,3734.9167515555164,X,None,nogo,None,1,3735.716764258541,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,21,,,1,3736.717012985697,Y,l,go,l,1,,0.3633265315438621,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,22,,,1,3738.183351183834,X,d,go,d,1,,0.44906709603674244,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,23,,,1,3739.733350432318,X,None,nogo,None,1,3740.5333044686995,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,24,,,1,3741.533394650469,Y,l,go,l,1,,0.37927270562795456,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,25,,,1,3743.0166855676653,X,d,go,d,1,,0.47936865710653365,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,26,,,1,3744.5997029819555,Y,l,go,l,1,,0.28761165916512255,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,27,,,1,3746.000003393943,Y,None,nogo,None,1,3746.799981672739,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,28,0,28,0,,,,,,,28,,,1,3747.8000083393854,X,d,go,d,1,,0.43252940707316156,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,29,0,29,0,,,,,,,29,,,1,3749.3332061414694,Y,l,go,l,1,,0.3549798689346062,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,30,0,30,0,,,,,,,30,,,1,3750.80006894542,Y,None,nogo,None,1,3751.5997063758987,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,31,0,31,0,,,,,,,31,,,1,3752.5997058910434,X,d,go,d,1,,0.5123073077993467,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,32,0,32,0,,,,,,,32,,,1,3754.2165201374446,Y,l,go,l,1,,0.4320818921405589,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,33,0,33,0,,,,,,,33,,,1,3755.7501048484264,Y,None,nogo,None,1,3756.550001672731,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,34,0,34,0,,,,,,,34,,,1,3757.549998278788,X,d,go,d,1,,0.21817072313569952,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,35,0,35,0,,,,,,,35,,,1,3758.8831864808744,Y,l,go,l,1,,0.3085508005169686,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,36,0,36,0,,,,,,,36,,,1,3760.299657066833,Y,None,nogo,l,0,,0.49344477149134036,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,37,0,37,0,,,,,,,37,,,1,3761.899844897038,X,d,go,d,1,,0.29936971406277735,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,38,0,38,0,,,,,,,38,,,1,3763.2997142789245,Y,l,go,l,1,,0.388331610331079,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,39,0,39,0,,,,,,,39,,,1,3764.7998464000702,Y,None,nogo,None,1,3765.5999609212304,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,40,0,40,0,,,,,,,40,,,1,3766.5999958303,X,d,go,d,1,,0.30385068159375805,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,41,0,41,0,,,,,,,41,,,1,3768.0163723556907,Y,l,go,l,1,,0.27939154193154536,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,42,0,42,0,,,,,,,42,,,1,3769.399941624273,Y,None,nogo,None,1,3770.1998151758453,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,43,0,43,0,,,,,,,43,,,1,3771.1997880243434,X,d,go,d,1,,0.3930443353165174,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,44,0,44,0,,,,,,,44,,,1,3772.700004024242,Y,l,go,l,1,,0.44520479488710407,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,45,0,45,0,,,,,,,45,,,1,3774.2497055759013,X,d,go,d,1,,0.46239024108217563,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,46,0,46,0,,,,,,,46,,,1,3775.8163743920595,X,None,nogo,None,1,3776.6165776404523,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,47,0,47,0,,,,,,,47,,,1,3777.616586852557,Y,l,go,l,1,,0.37502737434988376,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,48,0,48,0,,,,,,,48,,,1,3779.099710497103,X,d,go,d,1,,0.4444212801026879,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,49,0,49,0,,,,,,,49,,,1,3780.6496428365353,Y,l,go,l,1,,0.3665594996709842,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,50,0,50,0,,,,,,,50,,,1,3782.116507579878,Y,None,nogo,None,1,3782.9166657373717,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,51,0,51,0,,,,,,,51,,,1,3783.9166987070494,X,d,go,d,1,,0.23563398739497643,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,52,0,52,0,,,,,,,52,,,1,3785.2663547799457,Y,l,go,l,1,,0.31022886031132657,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,53,0,53,0,,,,,,,53,,,1,3786.6831346990803,Y,None,nogo,None,1,3787.4830116445955,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,54,0,54,0,,,,,,,54,,,1,3788.4833190383943,Y,None,nogo,None,1,3789.2832910141587,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,55,0,55,0,,,,,,,55,,,1,3790.2831378021074,X,d,go,d,1,,0.300480016565416,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,56,0,56,0,,,,,,,56,,,1,3791.6834954261867,Y,l,go,l,1,,0.38981039749342017,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,57,0,57,0,,,,,,,57,,,1,3793.1833851232077,X,d,go,d,1,,0.3294273964565946,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,58,0,58,0,,,,,,,58,,,1,3794.616647943447,Y,l,go,l,1,,0.2706822128238855,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,59,0,59,0,,,,,,,59,,,1,3795.999662060771,Y,None,nogo,None,1,3796.7998464000702,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,60,0,60,0,,,,,,,60,,,1,3797.79967912742,X,d,go,d,1,,0.22435059893177822,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,61,0,61,0,,,,,,,61,,,1,3799.1333167838457,Y,l,go,l,1,,0.3307951533643063,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,62,0,62,0,,,,,,,62,,,1,3800.566327967841,X,d,go,d,1,,0.32172315777279437,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,63,0,63,0,,,,,,,63,,,1,3801.999771151619,Y,l,go,l,1,,0.34473017691925634,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,64,0,64,0,,,,,,,64,,,1,3803.4495963880763,X,d,go,d,1,,0.3012014707637718,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,65,0,65,0,,,,,,,65,,,1,3804.88313169303,Y,l,go,l,1,,0.24464974059083033,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,66,0,66,0,,,,,,,66,,,1,3806.2333109171886,Y,None,nogo,None,1,3807.033317317182,,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,67,0,67,0,,,,,,,67,,,1,3808.0331316202937,X,d,go,d,1,,0.343514177511679,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
,,,,,,,,,,,,0,0,0,0,68,0,68,0,,,,,,,68,,,1,3809.483529947378,Y,l,go,l,1,,0.26808633530163206,,,,,,,,,,,,,,,6,001,2022-12-16_11h01.12.981,00_bat_bachelor,2022.2.4,59.95154464480134,
